iter	Passed	Remaining
466	760	868
467	762	866
468	763	864
469	765	862
470	766	860
471	767	859
472	769	857
473	771	855
474	772	853
475	774	852
476	775	850
477	777	848
478	778	847
479	780	845
480	781	843
481	783	841
482	784	840
483	786	838
484	788	836
485	789	835
486	791	833
487	793	832
488	794	830
489	796	828
490	798	827
491	799	825
492	801	823
493	802	822
494	804	820
495	805	818
496	807	816
497	808	815
498	810	813
499	811	811
500	813	810
501	814	808
502	816	806
503	817	805
504	819	803
505	821	801
506	822	799
507	824	798
508	825	796
509	827	795
510	829	793
511	830	791
512	832	790
513	833	788
514	835	786
515	836	785
516	838	783
517	840	781
518	841	779
519	843	778
520	844	776
521	846	774
522	847	773
523	849	771
524	851	769
525	852	768
526	854	766
527	855	765
528	857	763
529	858	761
530	860	759
531	861	758
532	863	756
533	865	755
534	866	753
535	868	751
536	870	750
537	871	748
538	873	746
539	874	745
540	876	743
541	877	741
542	879	739
543	880	738
544	882	736
545	884	735
546	885	733
547	887	731
548	888	730
549	890	728
550	891	726
551	893	725
552	895	723
553	896	721
554	898	720
555	899	718
556	901	716
557	902	715
558	904	713
559	905	711
560	907	710
561	909	708
562	911	707
563	912	705
564	914	703
565	915	702
566	917	700
567	919	698
568	920	697
569	921	695
570	923	693
571	925	692
572	926	690
573	928	689
574	930	687
575	931	685
576	933	684
577	934	682
578	936	680
579	937	679
580	939	677
581	941	675
582	942	674
583	944	672
584	945	671
585	947	669
586	949	667
587	950	666
588	952	664
589	953	662
590	955	661
591	957	659
592	958	658
593	960	656
594	961	654
595	963	653
596	965	651
597	966	649
598	968	648
599	969	646
600	971	644
601	972	643
602	974	641
603	976	639
604	977	638
605	979	636
606	980	635
607	982	633
608	984	631
609	985	630
610	987	628
611	988	626
612	990	625
613	991	623
614	993	621
615	995	620
616	996	618
617	998	617
618	999	615
619	1001	613
620	1002	612
621	1004	610
622	1005	608
623	1007	607
624	1008	605
625	1010	603
626	1011	601
627	1013	600
628	1014	598
629	1016	597
630	1018	595
631	1019	593
632	1021	592
633	1022	590
634	1024	588
635	1026	587
636	1027	585
637	1029	584
638	1030	582
639	1032	580
640	1034	579
641	1035	577
642	1037	575
643	1038	574
644	1040	572
645	1041	570
646	1043	569
647	1045	567
648	1046	565
649	1047	564
650	1049	562
651	1051	561
652	1052	559
653	1054	557
654	1055	556
655	1057	554
656	1058	552
657	1060	551
658	1062	549
659	1063	547
660	1065	546
661	1066	544
662	1068	543
663	1069	541
664	1071	539
665	1073	538
666	1074	536
667	1076	534
668	1077	533
669	1079	531
670	1081	530
671	1082	528
672	1084	526
673	1085	525
674	1087	523
675	1089	521
676	1090	520
677	1092	518
678	1093	517
679	1095	515
680	1096	513
681	1098	512
682	1099	510
683	1101	508
684	1102	507
685	1104	505
686	1106	504
687	1108	502
688	1110	501
689	1111	499
690	1113	497
691	1114	496
692	1116	494
693	1117	492
694	1119	491
695	1120	489
696	1122	488
697	1124	486
698	1125	484
699	1127	483
700	1128	481
701	1130	479
702	1131	478
703	1133	476
704	1135	474
705	1136	473
706	1137	471
707	1139	469
708	1140	468
709	1142	466
710	1143	464
711	1145	463
712	1146	461
713	1148	460
714	1150	458
715	1151	456
716	1153	455
717	1154	453
718	1156	452
719	1158	450
720	1160	448
721	1161	447
722	1163	445
723	1164	444
724	1166	442
725	1167	440
726	1169	439
727	1171	437
728	1172	435
729	1174	434
730	1175	432
731	1177	431
732	1179	429
733	1180	427
734	1182	426
735	1183	424
736	1185	423
737	1187	421
738	1188	419
739	1190	418
740	1191	416
741	1193	414
742	1194	413
743	1196	411
744	1198	410
745	1199	408
746	1201	406
747	1202	405
748	1204	403
749	1205	401
750	1207	400
751	1208	398
752	1210	397
753	1212	395
754	1213	393
755	1215	392
756	1216	390
757	1218	388
758	1219	387
759	1221	385
760	1223	384
761	1224	382
762	1226	380
763	1227	379
764	1229	377
765	1231	376
766	1232	374
767	1234	372
768	1235	371
769	1237	369
770	1238	367
771	1240	366
772	1242	364
773	1243	363
774	1245	361
775	1246	359
776	1248	358
777	1249	356
778	1251	355
779	1252	353
780	1254	351
781	1255	350
782	1257	348
783	1259	346
784	1260	345
785	1262	343
786	1263	342
787	1265	340
788	1266	338
789	1268	337
790	1269	335
791	1271	333
792	1272	332
793	1274	330
794	1275	329
795	1277	327
796	1278	325
797	1280	324
798	1281	322
799	1283	320
800	1285	319
801	1286	317
802	1288	316
803	1289	314
804	1291	312
805	1292	311
806	1294	309
807	1295	307
808	1297	306
809	1298	304
810	1300	303
811	1301	301
812	1303	299
813	1304	298
814	1306	296
815	1307	294
816	1309	293
817	1310	291
818	1312	290
819	1313	288
820	1315	286
821	1316	285
822	1318	283
823	1319	281
824	1321	280
825	1322	278
826	1324	277
827	1326	275
828	1327	273
829	1329	272
830	1330	270
831	1332	269
832	1333	267
833	1335	265
834	1336	264
835	1338	262
836	1340	261
837	1341	259
838	1343	257
839	1344	256
840	1346	254
841	1347	252
842	1349	251
843	1351	249
844	1352	248
845	1354	246
846	1355	244
847	1357	243
848	1358	241
849	1360	240
850	1361	238
851	1363	236
852	1364	235
853	1366	233
854	1368	232
855	1369	230
856	1371	228
857	1372	227
858	1374	225
859	1375	223
860	1377	222
861	1378	220
862	1380	219
863	1381	217
864	1383	215
865	1384	214
866	1386	212
867	1387	211
868	1389	209
869	1391	207
870	1392	206
871	1394	204
872	1395	203
873	1397	201
874	1398	199
875	1400	198
876	1402	196
877	1403	195
878	1405	193
879	1406	191
880	1408	190
881	1409	188
882	1411	187
